Vehicle_Title,Rating,Response,year,model,engine,num_doors,body type
2013 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3.75,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan XLE Touring 4dr Sedan (3.5L 6cyl 6A),3.875,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),2.75,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan XLE Touring 4dr Sedan (3.5L 6cyl 6A),3,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3.875,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan XLE 4dr Sedan (3.5L 6cyl 6A),3.25,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan XLE Touring 4dr Sedan (3.5L 6cyl 6A),3.625,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan XLE Premium 4dr Sedan (3.5L 6cyl 6A),3.875,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2015 Toyota Avalon Sedan XLE 4dr Sedan (3.5L 6cyl 6A),2,Negative,2015,Avalon,3.5L 6cyl 6A,4,Sedan
2015 Toyota Avalon Sedan XLE Touring SE 4dr Sedan (3.5L 6cyl 6A),3,Negative,2015,Avalon,3.5L 6cyl 6A,4,Sedan
2015 Toyota Avalon Sedan XLE 4dr Sedan (3.5L 6cyl 6A),2,Negative,2015,Avalon,3.5L 6cyl 6A,4,Sedan
2015 Toyota Avalon Sedan XLE Touring 4dr Sedan (3.5L 6cyl 6A),3,Negative,2015,Avalon,3.5L 6cyl 6A,4,Sedan
2015 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),2,Negative,2015,Avalon,3.5L 6cyl 6A,4,Sedan
2015 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3,Negative,2015,Avalon,3.5L 6cyl 6A,4,Sedan
2015 Toyota Avalon Sedan XLE 4dr Sedan (3.5L 6cyl 6A),3,Negative,2015,Avalon,3.5L 6cyl 6A,4,Sedan
2003 Toyota Avalon Sedan XLS 4dr Sedan w/Bench Seats (3.0L 6cyl 4A),3,Negative,2003,Avalon,3.0L 6cyl 4A,4,Sedan
2003 Toyota Avalon Sedan XLS 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),3.875,Negative,2003,Avalon,3.0L 6cyl 4A,4,Sedan
2003 Toyota Avalon Sedan XLS 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),3.875,Negative,2003,Avalon,3.0L 6cyl 4A,4,Sedan
2018 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 6A),1,Negative,2018,Avalon,3.5L 6cyl 6A,4,Sedan
2018 Toyota Avalon Sedan XLE Premium 4dr Sedan (3.5L 6cyl 6A),3,Negative,2018,Avalon,3.5L 6cyl 6A,4,Sedan
2018 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3,Negative,2018,Avalon,3.5L 6cyl 6A,4,Sedan
2018 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),1,Negative,2018,Avalon,3.5L 6cyl 6A,4,Sedan
2018 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 6A),1,Negative,2018,Avalon,3.5L 6cyl 6A,4,Sedan
2009 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 6A),3.5,Negative,2009,Avalon,3.5L 6cyl 6A,4,Sedan
2009 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3.5,Negative,2009,Avalon,3.5L 6cyl 6A,4,Sedan
2009 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3.75,Negative,2009,Avalon,3.5L 6cyl 6A,4,Sedan
2009 Toyota Avalon Sedan XL 4dr Sedan (3.5L 6cyl 6A),3.625,Negative,2009,Avalon,3.5L 6cyl 6A,4,Sedan
2009 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),2.875,Negative,2009,Avalon,3.5L 6cyl 6A,4,Sedan
2009 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3.5,Negative,2009,Avalon,3.5L 6cyl 6A,4,Sedan
2009 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 6A),2.75,Negative,2009,Avalon,3.5L 6cyl 6A,4,Sedan
2009 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),2.375,Negative,2009,Avalon,3.5L 6cyl 6A,4,Sedan
2011 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3.875,Negative,2011,Avalon,3.5L 6cyl 6A,4,Sedan
2011 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),2.625,Negative,2011,Avalon,3.5L 6cyl 6A,4,Sedan
2011 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),1.5,Negative,2011,Avalon,3.5L 6cyl 6A,4,Sedan
2011 Toyota Avalon Sedan 4dr Sedan (3.5L 6cyl 6A),3.75,Negative,2011,Avalon,3.5L 6cyl 6A,4,Sedan
2011 Toyota Avalon Sedan 4dr Sedan (3.5L 6cyl 6A),2.875,Negative,2011,Avalon,3.5L 6cyl 6A,4,Sedan
2011 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3.875,Negative,2011,Avalon,3.5L 6cyl 6A,4,Sedan
2011 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3.875,Negative,2011,Avalon,3.5L 6cyl 6A,4,Sedan
2011 Toyota Avalon Sedan 4dr Sedan (3.5L 6cyl 6A),3.75,Negative,2011,Avalon,3.5L 6cyl 6A,4,Sedan
2011 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),1.75,Negative,2011,Avalon,3.5L 6cyl 6A,4,Sedan
2011 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3.875,Negative,2011,Avalon,3.5L 6cyl 6A,4,Sedan
2005 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),3,Negative,2005,Avalon,3.5L 6cyl 5A,4,Sedan
2005 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),3.5,Negative,2005,Avalon,3.5L 6cyl 5A,4,Sedan
2005 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 5A),3.5,Negative,2005,Avalon,3.5L 6cyl 5A,4,Sedan
2005 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 5A),3.875,Negative,2005,Avalon,3.5L 6cyl 5A,4,Sedan
2005 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),3.625,Negative,2005,Avalon,3.5L 6cyl 5A,4,Sedan
2005 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),3.5,Negative,2005,Avalon,3.5L 6cyl 5A,4,Sedan
2005 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 5A),3.875,Negative,2005,Avalon,3.5L 6cyl 5A,4,Sedan
2005 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 5A),3.5,Negative,2005,Avalon,3.5L 6cyl 5A,4,Sedan
2004 Toyota Avalon Sedan XLS 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),2.125,Negative,2004,Avalon,3.0L 6cyl 4A,4,Sedan
2004 Toyota Avalon Sedan XL 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),3.875,Negative,2004,Avalon,3.0L 6cyl 4A,4,Sedan
2004 Toyota Avalon Sedan XLS 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),3,Negative,2004,Avalon,3.0L 6cyl 4A,4,Sedan
2004 Toyota Avalon Sedan XLS 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),2,Negative,2004,Avalon,3.0L 6cyl 4A,4,Sedan
2004 Toyota Avalon Sedan XLS 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),2.125,Negative,2004,Avalon,3.0L 6cyl 4A,4,Sedan
2004 Toyota Avalon Sedan XLS 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),3.75,Negative,2004,Avalon,3.0L 6cyl 4A,4,Sedan
2004 Toyota Avalon Sedan XLS 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),3,Negative,2004,Avalon,3.0L 6cyl 4A,4,Sedan
2004 Toyota Avalon Sedan XLS 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),1.25,Negative,2004,Avalon,3.0L 6cyl 4A,4,Sedan
2002 Toyota Avalon Sedan XL 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),3.75,Negative,2002,Avalon,3.0L 6cyl 4A,4,Sedan
2002 Toyota Avalon Sedan XLS 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),3.5,Negative,2002,Avalon,3.0L 6cyl 4A,4,Sedan
2002 Toyota Avalon Sedan XLS 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),3.75,Negative,2002,Avalon,3.0L 6cyl 4A,4,Sedan
2017 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3,Negative,2017,Avalon,3.5L 6cyl 6A,4,Sedan
2017 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 6A),3,Negative,2017,Avalon,3.5L 6cyl 6A,4,Sedan
2017 Toyota Avalon Sedan XLE Premium 4dr Sedan (3.5L 6cyl 6A),1,Negative,2017,Avalon,3.5L 6cyl 6A,4,Sedan
2017 Toyota Avalon Sedan XLE Premium 4dr Sedan (3.5L 6cyl 6A),1,Negative,2017,Avalon,3.5L 6cyl 6A,4,Sedan
2017 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),1,Negative,2017,Avalon,3.5L 6cyl 6A,4,Sedan
2017 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 6A),3,Negative,2017,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 6A),2,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),2,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 6A),3.375,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 6A),3.125,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3.875,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 6A),3.125,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),2.5,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 6A),1,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan XL 4dr Sedan (3.5L 6cyl 6A),3.5,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 6A),1.625,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 6A),2.375,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 6A),3.875,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),2.75,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 6A),3.25,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2008 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),2.5,Negative,2008,Avalon,3.5L 6cyl 6A,4,Sedan
2006 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 5A),2,Negative,2006,Avalon,3.5L 6cyl 5A,4,Sedan
2006 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 5A),3.875,Negative,2006,Avalon,3.5L 6cyl 5A,4,Sedan
2006 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 5A),2.75,Negative,2006,Avalon,3.5L 6cyl 5A,4,Sedan
2006 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),3.75,Negative,2006,Avalon,3.5L 6cyl 5A,4,Sedan
2006 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 5A),3.375,Negative,2006,Avalon,3.5L 6cyl 5A,4,Sedan
2006 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 5A),3.5,Negative,2006,Avalon,3.5L 6cyl 5A,4,Sedan
2006 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 5A),3.875,Negative,2006,Avalon,3.5L 6cyl 5A,4,Sedan
2006 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),3.5,Negative,2006,Avalon,3.5L 6cyl 5A,4,Sedan
2006 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),3.75,Negative,2006,Avalon,3.5L 6cyl 5A,4,Sedan
2006 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),3.125,Negative,2006,Avalon,3.5L 6cyl 5A,4,Sedan
2006 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),3.5,Negative,2006,Avalon,3.5L 6cyl 5A,4,Sedan
2014 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3,Negative,2014,Avalon,3.5L 6cyl 6A,4,Sedan
2014 Toyota Avalon Sedan XLE 4dr Sedan (3.5L 6cyl 6A),2,Negative,2014,Avalon,3.5L 6cyl 6A,4,Sedan
2014 Toyota Avalon Sedan XLE Touring 4dr Sedan (3.5L 6cyl 6A),2,Negative,2014,Avalon,3.5L 6cyl 6A,4,Sedan
2014 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),2,Negative,2014,Avalon,3.5L 6cyl 6A,4,Sedan
2014 Toyota Avalon Sedan XLE Touring 4dr Sedan (3.5L 6cyl 6A),3,Negative,2014,Avalon,3.5L 6cyl 6A,4,Sedan
2014 Toyota Avalon Sedan XLE Touring 4dr Sedan (3.5L 6cyl 6A),1,Negative,2014,Avalon,3.5L 6cyl 6A,4,Sedan
2014 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),1,Negative,2014,Avalon,3.5L 6cyl 6A,4,Sedan
2014 Toyota Avalon Sedan XLE 4dr Sedan (3.5L 6cyl 6A),3,Negative,2014,Avalon,3.5L 6cyl 6A,4,Sedan
2014 Toyota Avalon Sedan XLE Touring 4dr Sedan (3.5L 6cyl 6A),2,Negative,2014,Avalon,3.5L 6cyl 6A,4,Sedan
2014 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3,Negative,2014,Avalon,3.5L 6cyl 6A,4,Sedan
2014 Toyota Avalon Sedan XLE 4dr Sedan (3.5L 6cyl 6A),3,Negative,2014,Avalon,3.5L 6cyl 6A,4,Sedan
2014 Toyota Avalon Sedan XLE Premium 4dr Sedan (3.5L 6cyl 6A),3.75,Negative,2014,Avalon,3.5L 6cyl 6A,4,Sedan
2014 Toyota Avalon Sedan XLE Touring 4dr Sedan (3.5L 6cyl 6A),2.125,Negative,2014,Avalon,3.5L 6cyl 6A,4,Sedan
2014 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3.5,Negative,2014,Avalon,3.5L 6cyl 6A,4,Sedan
2000 Toyota Avalon Sedan XLS 4dr Sedan,2,Negative,2000,Avalon,,4,Sedan
2000 Toyota Avalon Sedan XLS 4dr Sedan,3.875,Negative,2000,Avalon,,4,Sedan
2000 Toyota Avalon Sedan XLS 4dr Sedan,3.125,Negative,2000,Avalon,,4,Sedan
2000 Toyota Avalon Sedan XLS 4dr Sedan,3,Negative,2000,Avalon,,4,Sedan
2000 Toyota Avalon Sedan XL 4dr Sedan,3.75,Negative,2000,Avalon,,4,Sedan
2000 Toyota Avalon Sedan XL 4dr Sedan,3.75,Negative,2000,Avalon,,4,Sedan
2001 Toyota Avalon Sedan XL 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),3.25,Negative,2001,Avalon,3.0L 6cyl 4A,4,Sedan
2001 Toyota Avalon Sedan XL 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),2.375,Negative,2001,Avalon,3.0L 6cyl 4A,4,Sedan
2001 Toyota Avalon Sedan XL 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),3,Negative,2001,Avalon,3.0L 6cyl 4A,4,Sedan
2001 Toyota Avalon Sedan XL 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),3.875,Negative,2001,Avalon,3.0L 6cyl 4A,4,Sedan
2001 Toyota Avalon Sedan XL 4dr Sedan w/Bucket Seats (3.0L 6cyl 4A),2.25,Negative,2001,Avalon,3.0L 6cyl 4A,4,Sedan
1997 Toyota Avalon Sedan XLS 4dr Sedan,3.625,Negative,1997,Avalon,,4,Sedan
1997 Toyota Avalon Sedan XL 4dr Sedan,3.5,Negative,1997,Avalon,,4,Sedan
1997 Toyota Avalon Sedan XL 4dr Sedan,2.5,Negative,1997,Avalon,,4,Sedan
2016 Toyota Avalon Sedan XLE Premium 4dr Sedan (3.5L 6cyl 6A),3,Negative,2016,Avalon,3.5L 6cyl 6A,4,Sedan
2016 Toyota Avalon Sedan XLE Premium 4dr Sedan (3.5L 6cyl 6A),3,Negative,2016,Avalon,3.5L 6cyl 6A,4,Sedan
2016 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 6A),2,Negative,2016,Avalon,3.5L 6cyl 6A,4,Sedan
2016 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3,Negative,2016,Avalon,3.5L 6cyl 6A,4,Sedan
2016 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 6A),1,Negative,2016,Avalon,3.5L 6cyl 6A,4,Sedan
2016 Toyota Avalon Sedan XLE Premium 4dr Sedan (3.5L 6cyl 6A),2,Negative,2016,Avalon,3.5L 6cyl 6A,4,Sedan
2016 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 6A),3,Negative,2016,Avalon,3.5L 6cyl 6A,4,Sedan
2016 Toyota Avalon Sedan XLE Premium 4dr Sedan (3.5L 6cyl 6A),2,Negative,2016,Avalon,3.5L 6cyl 6A,4,Sedan
2016 Toyota Avalon Sedan XLE 4dr Sedan (3.5L 6cyl 6A),3,Negative,2016,Avalon,3.5L 6cyl 6A,4,Sedan
1998 Toyota Avalon Sedan XL 4dr Sedan,3.375,Negative,1998,Avalon,,4,Sedan
1998 Toyota Avalon Sedan XLS 4dr Sedan,3.125,Negative,1998,Avalon,,4,Sedan
1998 Toyota Avalon Sedan XLS 4dr Sedan,3.75,Negative,1998,Avalon,,4,Sedan
1998 Toyota Avalon Sedan XLS 4dr Sedan,3.875,Negative,1998,Avalon,,4,Sedan
1998 Toyota Avalon Sedan XL 4dr Sedan,3,Negative,1998,Avalon,,4,Sedan
1998 Toyota Avalon Sedan XL 4dr Sedan,3.5,Negative,1998,Avalon,,4,Sedan
1998 Toyota Avalon Sedan XL 4dr Sedan,2.25,Negative,1998,Avalon,,4,Sedan
1998 Toyota Avalon Sedan XL 4dr Sedan,3.75,Negative,1998,Avalon,,4,Sedan
1999 Toyota Avalon Sedan XL 4dr Sedan,3.75,Negative,1999,Avalon,,4,Sedan
1999 Toyota Avalon Sedan XL 4dr Sedan,3.625,Negative,1999,Avalon,,4,Sedan
1999 Toyota Avalon Sedan XL 4dr Sedan,3.875,Negative,1999,Avalon,,4,Sedan
1999 Toyota Avalon Sedan XLS 4dr Sedan,2.75,Negative,1999,Avalon,,4,Sedan
1999 Toyota Avalon Sedan XLS 4dr Sedan,3.5,Negative,1999,Avalon,,4,Sedan
2007 Toyota Tacoma Access Cab V6 4dr Access Cab 4WD 6.1 ft. SB (4.0L 6cyl 6M),2,Negative,2007,Tacoma,4.0L 6cyl 6M,4,Access Cab
2007 Toyota Tacoma Access Cab PreRunner V6 4dr Access Cab 6.1 ft. SB (4.0L 6cyl 6M),3.625,Negative,2007,Tacoma,4.0L 6cyl 6M,4,Access Cab
2007 Toyota Tacoma Access Cab 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 5M),2.25,Negative,2007,Tacoma,2.7L 4cyl 5M,4,Access Cab
2007 Toyota Tacoma Access Cab V6 4dr Access Cab 4WD 6.1 ft. SB (4.0L 6cyl 5A),2.625,Negative,2007,Tacoma,4.0L 6cyl 5A,4,Access Cab
2007 Toyota Tacoma Access Cab 4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 5M),3.25,Negative,2007,Tacoma,2.7L 4cyl 5M,4,Access Cab
2007 Toyota Tacoma Access Cab PreRunner V6 4dr Access Cab 6.1 ft. SB (4.0L 6cyl 6M),3.75,Negative,2007,Tacoma,4.0L 6cyl 6M,4,Access Cab
2007 Toyota Tacoma Access Cab 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 4A),2.625,Negative,2007,Tacoma,2.7L 4cyl 4A,4,Access Cab
2007 Toyota Tacoma Access Cab V6 4dr Access Cab 4WD 6.1 ft. SB (4.0L 6cyl 6M),2.125,Negative,2007,Tacoma,4.0L 6cyl 6M,4,Access Cab
2007 Toyota Tacoma Access Cab 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 4A),3.5,Negative,2007,Tacoma,2.7L 4cyl 4A,4,Access Cab
2007 Toyota Tacoma Access Cab V6 4dr Access Cab 4WD 6.1 ft. SB (4.0L 6cyl 6M),3.125,Negative,2007,Tacoma,4.0L 6cyl 6M,4,Access Cab
2007 Toyota Tacoma Access Cab 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 4A),3.625,Negative,2007,Tacoma,2.7L 4cyl 4A,4,Access Cab
2007 Toyota Tacoma Access Cab PreRunner V6 4dr Access Cab 6.1 ft. SB (4.0L 6cyl 5A),3.75,Negative,2007,Tacoma,4.0L 6cyl 5A,4,Access Cab
2007 Toyota Tacoma Double Cab V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 5A),3,Negative,2007,Tacoma,4.0L 6cyl 5A,4,Double Cab
2007 Toyota Tacoma Double Cab PreRunner V6 4dr Double Cab 6.1 ft. SB (4.0L 6cyl 5A),3.375,Negative,2007,Tacoma,4.0L 6cyl 5A,4,Double Cab
2007 Toyota Tacoma Double Cab V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 5A),3.875,Negative,2007,Tacoma,4.0L 6cyl 5A,4,Double Cab
2007 Toyota Tacoma Double Cab V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 5A),3.375,Negative,2007,Tacoma,4.0L 6cyl 5A,4,Double Cab
